Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
21,1.74937,7601.15771,0.01571
21.1,1.75787,7605.77686,0.01575
21.2,1.76575,7605.49072,0.01579
21.3,1.77419,7613.83984,0.01584
21.4,1.78287,7623.6665,0.01589
21.5,1.79112,7622.50635,0.01594
21.6,1.79937,7623.58105,0.016
21.7,1.80787,7623.54932,0.01606
21.8,1.81606,7612.56592,0.01612
21.9,1.82419,7610.68066,0.01619
22,1.83262,7607.57617,0.01626
22.1,1.84119,7600.25977,0.01633
22.2,1.84937,7596.18262,0.01639
22.3,1.85781,7595.23975,0.01646
22.4,1.86619,7595.5415,0.01653
22.5,1.87431,7593.17969,0.01661
22.6,1.88269,7602.27979,0.01669
22.7,1.891,7606.10547,0.01676
22.8,1.89937,7608.35547,0.01683
22.9,1.9075,7621.68604,0.01691
23,1.91612,7635.53662,0.01699
23.1,1.92456,7643.18018,0.01707
23.2,1.93269,7649.82568,0.01714
23.3,1.94119,7658.20752,0.01722
23.4,1.94937,7664.5249,0.01729
23.5,1.95744,7667.73584,0.01736
23.6,1.96606,7681.62695,0.01742
23.7,1.97456,7692.1084,0.01747
23.8,1.98294,7692.27441,0.01752
23.9,1.991,7697.32764,0.01755
24,1.99925,7703.25732,0.01758
24.1,2.00781,7710.3042,0.0176
24.2,2.01581,7712.24219,0.01761
24.3,2.02431,7717.7124,0.01762
24.4,2.03287,7725.59131,0.0176
24.5,2.041,7722.73779,0.01758
24.6,2.04931,7728.51562,0.01757
24.7,2.05787,7734.57129,0.01754
24.8,2.06612,7727.43164,0.01752
24.9,2.07425,7729.73877,0.0175
25,2.0825,7728.30908,0.01749
25.1,2.09112,7727.62207,0.01749
25.2,2.09937,7726.46729,0.01749
25.3,2.10794,7724.97656,0.01749
25.4,2.11625,7720.22314,0.0175
25.5,2.12431,7712.18896,0.01751
25.6,2.13256,7713.83398,0.01753
25.7,2.14094,7715.17383,0.01753
25.8,2.14937,7711.78027,0.01753
25.9,2.15769,7718.33447,0.01753
26,2.16619,7725.58887,0.01753
26.1,2.17444,7728.31152,0.01753
26.2,2.18262,7741.1709,0.01753
26.3,2.19112,7754.62451,0.01753
26.4,2.19937,7765.01367,0.01754
26.5,2.20756,7771.61963,0.01755
26.6,2.21594,7785.74121,0.01756
26.7,2.22437,7800.58447,0.01757
26.8,2.23294,7808.30664,0.01758
26.9,2.24106,7815.80518,0.0176
27,2.24937,7821.85498,0.01763
27.1,2.25787,7826.10645,0.01764
27.2,2.26569,7827.27686,0.01766
27.3,2.27425,7840.25635,0.01769
27.4,2.28294,7851.95654,0.01771
27.5,2.29112,7851.44775,0.01774
27.6,2.29944,7858.49268,0.01778
27.7,2.30775,7863.08643,0.01781
27.8,2.31606,7862.40869,0.01783
27.9,2.32425,7871.71436,0.01787
28,2.33256,7875.75781,0.0179
28.1,2.34119,7881.33154,0.01793
28.2,2.34925,7887.1167,0.01796
28.3,2.35775,7891.92383,0.018
28.4,2.36619,7894.64355,0.01803
28.5,2.37431,7885.83105,0.01806
28.6,2.38269,7882.74707,0.01809
28.7,2.39094,7872.99512,0.01812
28.8,2.39925,7855.68066,0.01813
28.9,2.40756,7853.5,0.01816
29,2.41619,7861.75293,0.01819
29.1,2.42456,7875.99512,0.01822
29.2,2.43269,7904.00781,0.01826
29.3,2.441,7933.25879,0.01829
29.4,2.44931,7962.14941,0.01834
